id,realized_row_acceptance_rate,equal_realized_configuration_acceptance_rate,realized_row_decision,equal_realized_configuration_decision,equal_configuration_decision_changed,leave_one_configuration_decision_changed,configurations_causing_leave_one_change,realized_configurations,estimation_status
air-01,1.0,1.0,accept,accept,False,False,[],18,descriptive_reweighting_not_certified
air-02,0.0,0.0,reject,reject,False,False,[],18,descriptive_reweighting_not_certified
air-03,0.475,0.48796296296296293,reject,reject,False,True,"[""deepseek-v4-flash"",""deepseek-v4-pro"",""kimi-k2.6"",""qwen3.7-max"",""qwen3.7-plus""]",18,descriptive_reweighting_not_certified
air-04,0.0,0.0,reject,reject,False,False,[],18,descriptive_reweighting_not_certified
bug-01,1.0,1.0,accept,accept,False,False,[],18,descriptive_reweighting_not_certified
bug-02,0.0,0.0,reject,reject,False,False,[],18,descriptive_reweighting_not_certified
bug-03,0.1,0.16666666666666666,reject,reject,False,False,[],18,descriptive_reweighting_not_certified
bug-04,0.0,0.0,reject,reject,False,False,[],18,descriptive_reweighting_not_certified
fp-01,0.975,0.9722222222222222,accept,accept,False,False,[],18,descriptive_reweighting_not_certified
fp-02,0.0,0.0,reject,reject,False,False,[],18,descriptive_reweighting_not_certified
fp-03,0.0,0.0,reject,reject,False,False,[],18,descriptive_reweighting_not_certified
grt-01,0.975,0.9888888888888889,accept,accept,False,False,[],18,descriptive_reweighting_not_certified
grt-02,0.0,0.0,reject,reject,False,False,[],18,descriptive_reweighting_not_certified
grt-03,1.0,1.0,accept,accept,False,False,[],18,descriptive_reweighting_not_certified
grt-04,0.0,0.0,reject,reject,False,False,[],18,descriptive_reweighting_not_certified
hlt-01,0.975,0.9861111111111112,accept,accept,False,False,[],18,descriptive_reweighting_not_certified
hlt-02,0.0,0.0,reject,reject,False,False,[],18,descriptive_reweighting_not_certified
hlt-03,0.0,0.0,reject,reject,False,False,[],18,descriptive_reweighting_not_certified
ins-01,1.0,1.0,accept,accept,False,False,[],18,descriptive_reweighting_not_certified
ins-02,0.0,0.0,reject,reject,False,False,[],18,descriptive_reweighting_not_certified
ins-03,0.575,0.6037037037037037,accept,accept,False,False,[],18,descriptive_reweighting_not_certified
ins-04,0.0,0.0,reject,reject,False,False,[],18,descriptive_reweighting_not_certified
mkt-01,0.975,0.9444444444444444,accept,accept,False,False,[],18,descriptive_reweighting_not_certified
mkt-02,0.0,0.0,reject,reject,False,False,[],18,descriptive_reweighting_not_certified
mkt-03,0.625,0.5509259259259259,accept,accept,False,False,[],18,descriptive_reweighting_not_certified
mkt-04,0.0,0.0,reject,reject,False,False,[],18,descriptive_reweighting_not_certified
mod-01,1.0,1.0,accept,accept,False,False,[],18,descriptive_reweighting_not_certified
mod-02,0.025,0.013888888888888888,reject,reject,False,False,[],18,descriptive_reweighting_not_certified
mod-03,1.0,1.0,accept,accept,False,False,[],18,descriptive_reweighting_not_certified
mod-04,0.0,0.0,reject,reject,False,False,[],18,descriptive_reweighting_not_certified
pay-01,1.0,1.0,accept,accept,False,False,[],18,descriptive_reweighting_not_certified
pay-02,0.0,0.0,reject,reject,False,False,[],18,descriptive_reweighting_not_certified
pay-03,0.125,0.16666666666666666,reject,reject,False,False,[],18,descriptive_reweighting_not_certified
pay-04,0.975,0.9888888888888889,accept,accept,False,False,[],18,descriptive_reweighting_not_certified
pmo-01,1.0,1.0,accept,accept,False,False,[],18,descriptive_reweighting_not_certified
pmo-02,0.0,0.0,reject,reject,False,False,[],18,descriptive_reweighting_not_certified
pmo-03,0.075,0.05555555555555555,reject,reject,False,False,[],18,descriptive_reweighting_not_certified
pmo-04,0.0,0.0,reject,reject,False,False,[],18,descriptive_reweighting_not_certified
pms-01,0.975,0.9861111111111112,accept,accept,False,False,[],18,descriptive_reweighting_not_certified
pms-02,0.025,0.013888888888888888,reject,reject,False,False,[],18,descriptive_reweighting_not_certified
pms-03,0.0,0.0,reject,reject,False,False,[],18,descriptive_reweighting_not_certified
pms-04,1.0,1.0,accept,accept,False,False,[],18,descriptive_reweighting_not_certified
ref-01,1.0,1.0,accept,accept,False,False,[],18,descriptive_reweighting_not_certified
ref-02,0.0,0.0,reject,reject,False,False,[],18,descriptive_reweighting_not_certified
ref-03,0.0,0.0,reject,reject,False,False,[],18,descriptive_reweighting_not_certified
ref-04,0.0,0.0,reject,reject,False,False,[],18,descriptive_reweighting_not_certified
sla-01,0.975,0.9444444444444444,accept,accept,False,False,[],18,descriptive_reweighting_not_certified
sla-02,0.0,0.0,reject,reject,False,False,[],18,descriptive_reweighting_not_certified
sla-03,0.0,0.0,reject,reject,False,False,[],18,descriptive_reweighting_not_certified
sla-04,0.0,0.0,reject,reject,False,False,[],18,descriptive_reweighting_not_certified
