cell_id,item_id,row_index,configuration_id,global_vote,status
air-01::row-0000,air-01,0,deepseek-v4-pro,1,success
air-01::row-0001,air-01,1,qwen3.7-plus,1,success
air-01::row-0002,air-01,2,gpt-5.5,1,success
air-01::row-0003,air-01,3,gpt-5.6-terra,1,success
air-01::row-0004,air-01,4,gemini-3.1-pro-preview,1,success
air-01::row-0005,air-01,5,deepseek-v4-flash,1,success
air-01::row-0006,air-01,6,gemini-3-flash-preview,1,success
air-01::row-0007,air-01,7,glm-4.6,1,success
air-01::row-0008,air-01,8,claude-opus-5,1,success
air-01::row-0009,air-01,9,gemini-3.1-pro-preview,1,success
air-01::row-0010,air-01,10,qwen3.7-max,1,success
air-01::row-0011,air-01,11,deepseek-v4-pro,1,success
air-01::row-0012,air-01,12,gemini-3.1-pro-preview,1,success
air-01::row-0013,air-01,13,gpt-5.5,1,success
air-01::row-0014,air-01,14,grok-4.5,1,success
air-01::row-0015,air-01,15,qwen3.7-plus,1,success
air-01::row-0016,air-01,16,gpt-5.6-terra,1,success
air-01::row-0017,air-01,17,gpt-5.5,1,success
air-01::row-0018,air-01,18,gpt-5.6-terra,1,success
air-01::row-0019,air-01,19,deepseek-v4-flash,1,success
air-01::row-0020,air-01,20,kimi-k2.6,1,success
air-01::row-0021,air-01,21,glm-4.6,1,success
air-01::row-0022,air-01,22,qwen3.6-plus,1,success
air-01::row-0023,air-01,23,gemini-3-flash-preview,1,success
air-01::row-0024,air-01,24,deepseek-v4-flash,1,success
air-01::row-0025,air-01,25,deepseek-v4-pro,1,success
air-01::row-0026,air-01,26,deepseek-v4-pro,1,success
air-01::row-0027,air-01,27,glm-5.2,1,success
air-01::row-0028,air-01,28,kimi-k2.6,1,success
air-01::row-0029,air-01,29,mercury-2,1,success
air-01::row-0030,air-01,30,qwen3.7-max,1,success
air-01::row-0031,air-01,31,kimi-k3,1,success
air-01::row-0032,air-01,32,grok-4.5,1,success
air-01::row-0033,air-01,33,deepseek-v4-pro,1,success
air-01::row-0034,air-01,34,qwen3.7-plus,1,success
air-01::row-0035,air-01,35,deepseek-v4-flash,1,success
air-01::row-0036,air-01,36,qwen3.7-max,1,success
air-01::row-0037,air-01,37,glm-5.1,1,success
air-01::row-0038,air-01,38,gemini-3.1-pro-preview,1,success
air-01::row-0039,air-01,39,claude-opus-4-8,1,success
air-02::row-0000,air-02,0,deepseek-v4-pro,0,success
air-02::row-0001,air-02,1,qwen3.7-plus,0,success
air-02::row-0002,air-02,2,gpt-5.5,0,success
air-02::row-0003,air-02,3,gpt-5.6-terra,0,success
air-02::row-0004,air-02,4,gemini-3.1-pro-preview,0,success
air-02::row-0005,air-02,5,deepseek-v4-flash,0,success
air-02::row-0006,air-02,6,gemini-3-flash-preview,0,success
air-02::row-0007,air-02,7,glm-4.6,0,success
air-02::row-0008,air-02,8,claude-opus-5,0,success
air-02::row-0009,air-02,9,gemini-3.1-pro-preview,0,success
air-02::row-0010,air-02,10,qwen3.7-max,0,success
air-02::row-0011,air-02,11,deepseek-v4-pro,0,success
air-02::row-0012,air-02,12,gemini-3.1-pro-preview,0,success
air-02::row-0013,air-02,13,gpt-5.5,0,success
air-02::row-0014,air-02,14,grok-4.5,0,success
air-02::row-0015,air-02,15,qwen3.7-plus,0,success
air-02::row-0016,air-02,16,gpt-5.6-terra,0,success
air-02::row-0017,air-02,17,gpt-5.5,0,success
air-02::row-0018,air-02,18,gpt-5.6-terra,0,success
air-02::row-0019,air-02,19,deepseek-v4-flash,0,success
air-02::row-0020,air-02,20,kimi-k2.6,0,success
air-02::row-0021,air-02,21,glm-4.6,0,success
air-02::row-0022,air-02,22,qwen3.6-plus,0,success
air-02::row-0023,air-02,23,gemini-3-flash-preview,0,success
air-02::row-0024,air-02,24,deepseek-v4-flash,0,success
air-02::row-0025,air-02,25,deepseek-v4-pro,0,success
air-02::row-0026,air-02,26,deepseek-v4-pro,0,success
air-02::row-0027,air-02,27,glm-5.2,0,success
air-02::row-0028,air-02,28,kimi-k2.6,0,success
air-02::row-0029,air-02,29,mercury-2,0,success
air-02::row-0030,air-02,30,qwen3.7-max,0,success
air-02::row-0031,air-02,31,kimi-k3,0,success
air-02::row-0032,air-02,32,grok-4.5,0,success
air-02::row-0033,air-02,33,deepseek-v4-pro,0,success
air-02::row-0034,air-02,34,qwen3.7-plus,0,success
air-02::row-0035,air-02,35,deepseek-v4-flash,0,success
air-02::row-0036,air-02,36,qwen3.7-max,0,success
air-02::row-0037,air-02,37,glm-5.1,0,success
air-02::row-0038,air-02,38,gemini-3.1-pro-preview,0,success
air-02::row-0039,air-02,39,claude-opus-4-8,0,success
air-03::row-0000,air-03,0,deepseek-v4-pro,1,success
air-03::row-0001,air-03,1,qwen3.7-plus,0,success
air-03::row-0002,air-03,2,gpt-5.5,1,success
air-03::row-0003,air-03,3,gpt-5.6-terra,0,success
air-03::row-0004,air-03,4,gemini-3.1-pro-preview,1,success
air-03::row-0005,air-03,5,deepseek-v4-flash,0,success
air-03::row-0006,air-03,6,gemini-3-flash-preview,1,success
