configuration_id,design_hash,model,row_index,row_seed
deepseek-v4-pro,e06ade372d6d4e1624e0e7ef26977cb7482fb73a375cb731e56404f286448acd,family:deepseek-v4-pro,0,599631958
qwen3.7-plus,fcbf713f26576397d819e921a7b47b0d7ba63f75d7629675363bcb2c3228714a,family:qwen3.7-plus,1,1981314022
gpt-5.5,5d7963e699b038c0fbdc86aadc2b9cf7662a5378bc1332599c6c7d2f2038bd3c,family:gpt-5.5,2,27649868
gpt-5.6-terra,f544cf0fb2b273dfe808f28764a9a9b8d4485b899027306b45ba0e47d91c4ea6,family:gpt-5.6-terra,3,840358263
gemini-3.1-pro-preview,204539bd444486c0b724b4e59f451de767fd7a9abacc767fae5165fb424c169a,family:gemini-3.1-pro-preview,4,793297478
deepseek-v4-flash,11b837f650e965ea9c7c7d13a26ccabc24123b26f74643942d0acc851a1b220f,family:deepseek-v4-flash,5,249680408
gemini-3-flash-preview,a84e803ee2230175bb16c151cf2ee4f28c3b503e7951ecf29a281c73220331f8,family:gemini-3-flash-preview,6,2022978218
glm-4.6,5c53bc81fac7baf2ef56389ea132cecfbca6fda8ab385cb34142c3f45bb0ba32,family:glm-4.6,7,750502420
claude-opus-5,21aa9979768f40ee6bc5d107234dd2ced277ec97c8f6bdc8c8b836ed6a068408,family:claude-opus-5,8,914071702
gemini-3.1-pro-preview,5ba96049d656c84642b97b8a4f0a5d5b61f013e827906410e1c0e372906e85e0,family:gemini-3.1-pro-preview,9,339205085
qwen3.7-max,d7d1609df14d41f8cc13fd6b166db3206aacddc3ac68208ec4d9fb656fd079cb,family:qwen3.7-max,10,1862437243
deepseek-v4-pro,2943fb4201b47b70ca31de03a9c80bb0bd856567fd339bcfcbdae8769572a1a0,family:deepseek-v4-pro,11,1897154828
gemini-3.1-pro-preview,61e171c9716b1ea7ae37104a36887acbbeadac3dc7ed844d36f994ff24c28274,family:gemini-3.1-pro-preview,12,1479492570
gpt-5.5,6d332e21bde02f16bb8900116885a9bdc2fa787ea197fd1295f2c8722c507352,family:gpt-5.5,13,1928251515
grok-4.5,cdca50b4d1602b9ddca179e340d392bbed060a251fb58588d9ea6ef829cb5c39,family:grok-4.5,14,1709416678
qwen3.7-plus,5f0dbd5165654012772339427665e8a9e7c6f9ed050fcbfa684b0d03776626e2,family:qwen3.7-plus,15,901552676
gpt-5.6-terra,86f1ac25d757f931f71660a4f4bebf2d83c42cf53581b5aa71e59520d8642117,family:gpt-5.6-terra,16,1184546179
gpt-5.5,53d2c98de450778f1e23f3dd78635b18a786ae065781ec98691e0f700f1eb583,family:gpt-5.5,17,895866676
gpt-5.6-terra,318628652c59c24c71577ee3b471c41c5c4b8349c8e450183991c5cb8ef0df65,family:gpt-5.6-terra,18,732627142
deepseek-v4-flash,8b22ee046a7a06523de962fc363fc93246a82da142a7ceed77cdc46304621ed3,family:deepseek-v4-flash,19,1177187551
kimi-k2.6,b8b6ddccae5bb1eb2c68c903bd022ce334aa59a14ace15b7bb5992c6fd738908,family:kimi-k2.6,20,1742292175
glm-4.6,b147ae0971b78a650b9eb67abf581e0565d2de508d471f60270954d29cc0e6c3,family:glm-4.6,21,327973337
